IdentifierType,IdentifierValue,AmortizedCost_USDEquivalent,MarketValue_USDEquivalent,AccountingIntent,TypeOfHedge,HedgedRisk,HedgeInterestRate,HedgePercentage,HedgeHorizon,HedgedCashFlow,Sidedness,HedgingInstrumentAtFairValue,EffectivePortionOfCumulativeGainsAndLosses,ASU2017-12HedgeDesignations
SEDOL,ID-005036,737929.0313,248358.1604,HTM,2,5,2,0.9216,11/20/2017,5,2,1245415.529,226633.9714,1
CUSIP,ID-005037,737248.2714,495623.2712,EQ,2,4,3,0.9492,11/23/2002,4,1,1381576.158,206192.5876,3
SEDOL,ID-005038,636761.7105,573899.591,HTM,1,1,4,,10/23/2025,2,2,1083134.936,272905.8188,2
ISIN,ID-005039,550522.2945,457351.073,EQ,2,1,5,0.0317,5/3/2033,2,1,1058183.496,283745.3008,2
INTERNAL,ID-005040,600425.0149,419254.2831,EQ,1,7,1,0.1791,6/9/2014,1,2,1130864.242,242830.2585,2
CUSIP,ID-005041,6994247.683,544860.6301,EQ,1,1,5,0.4373,2/13/2023,4,1,1008011.388,499500.3068,2
ISIN,ID-005042,598043.7922,567795.8254,HTM,2,3,1,0.546,9/14/2013,1,1,1391282.164,308270.7596,1
ISIN,ID-005043,733827.3005,559749.2929,AFS,1,4,1,0.1261,4/11/2015,1,1,1941732.938,289675.6456,3
INTERNAL,ID-005044,805077.5449,628738.6533,EQ,1,9,2,0.5773,7/7/2000,3,2,1641726.287,290703.928,1
ISIN,ID-005045,861905.2597,464767.6071,AFS,1,3,4,0.4085,2/8/2010,2,2,,255462.1082,2
INTERNAL,ID-005046,725877.3147,567821.1826,HTM,2,10,3,0.0809,5/26/2015,4,1,1155906.328,314580.6254,3
INTERNAL,ID-005047,790099.8087,688591.6028,HTM,2,9,4,0.7505,8/10/2034,2,2,1685379.734,231168.0181,3
ISIN,ID-005048,605620.4982,633572.8802,EQ,2,9,5,0.5087,5/10/2024,6,2,1463306.977,221214.3005,2
CUSIP,ID-005049,599384.7977,638883.6,AFS,2,7,1,0.9099,6/8/2026,4,1,1733479.895,225853.6464,3
INTERNAL,ID-005050,667070.1399,516657.8707,AFS,1,9,4,0.6379,3/7/2024,3,2,1192028.183,552639.2541,2
SEDOL,ID-005051,1293329.448,612049.0054,EQ,2,11,3,0.0233,4/14/2013,4,2,2167505.399,238541.3603,2
INTERNAL,ID-005052,936706.7966,324184.4448,AFS,2,9,3,0.38,11/25/2028,3,1,1065172.792,233145.8288,1
SEDOL,ID-005053,746687.7776,531535.0897,HTM,2,3,5,0.7823,11/18/2004,5,2,1142206.6,310740.9431,3
CUSIP,ID-005054,676944.0499,564082.3955,EQ,1,2,3,0.7324,10/12/2011,6,2,1029360.118,330457.0334,2
CUSIP,ID-005055,872178.5322,531157.3801,AFS,2,7,4,0.78,6/22/2028,2,1,1127104.199,225064.038,2
ISIN,ID-005056,566380.7855,494662.7606,HTM,2,10,2,0.7038,1/10/2016,6,1,1207077.551,278738.4196,1
INTERNAL,ID-005057,908090.6303,714544.7922,EQ,2,6,4,0.8356,11/30/2035,1,2,1078861.43,,1
SEDOL,ID-005058,700092.89,484027.7706,HTM,1,7,3,0.9915,9/4/2000,5,2,1205919.282,251761.9003,2
ISIN,ID-005059,560593.6589,534527.9061,AFS,2,7,4,0.6511,8/14/2021,2,2,1601233.153,244976.1506,1
INTERNAL,ID-005060,679075.4033,501720.4232,EQ,1,7,4,0.8441,12/28/2005,6,2,1727303.863,323096.7737,3
SEDOL,ID-005061,729209.2598,376361.8444,AFS,1,8,5,0.9003,6/26/2003,5,1,1086679.36,256111.0373,1
ISIN,ID-005062,786794.0484,342363.3225,EQ,1,4,4,0.8201,1/4/2000,3,2,1179489.29,313916.1483,3
CUSIP,ID-005063,521773.1042,320458.3478,AFS,1,4,3,0.1619,,1,1,1282340.031,244908.0614,2
SEDOL,ID-005064,621585.6353,655914.4121,AFS,1,2,3,0.1096,11/19/2029,2,2,1128454.871,334674.8528,2
ISIN,ID-005065,873614.087,480015.9848,EQ,1,10,3,0.4451,9/6/2014,1,2,1106114.992,310078.8748,1
ISIN,ID-005066,631277.1767,358390.7115,AFS,2,9,1,0.8876,10/22/2030,6,1,1294114.187,242593.9304,3
ISIN,ID-005067,798405.9747,375052.6589,AFS,1,7,4,0.1965,12/11/2030,3,1,1103828.307,248111.3581,3
CUSIP,ID-005068,892705.5352,433353.7438,AFS,2,2,3,0.9618,8/25/2022,5,2,1708266.609,348142.2789,2
SEDOL,ID-005069,563969.6482,454361.5437,EQ,2,9,5,0.8176,9/21/2009,4,2,1018256.606,216011.6244,3
CUSIP,ID-005070,628725.0247,356031.9053,EQ,2,8,4,0.7913,6/30/2031,2,2,1065319.298,207766.8387,2
INTERNAL,ID-005071,607732.6429,461014.4598,AFS,2,6,4,0.8185,8/18/2000,5,2,1201968.553,440411.4447,3
SEDOL,ID-005072,759610.3291,472688.0953,EQ,2,3,1,0.0106,6/17/2004,4,1,1113377.141,344474.4536,3
CUSIP,ID-005073,662197.1347,,AFS,2,9,5,0.6267,7/2/2035,2,1,1115921.119,241495.7437,3
SEDOL,ID-005074,635530.1841,659278.3587,EQ,2,8,2,0.437,2/4/2016,4,2,1036947.448,223699.5223,2
SEDOL,ID-005075,594564.3337,523756.5751,EQ,1,11,1,0.2371,1/16/2002,3,1,1264440.068,306148.7215,1
ISIN,ID-005076,779004.456,455798.4872,EQ,2,10,3,0.9178,1/5/2009,5,2,1642404.208,238559.4415,1
ISIN,ID-005077,578784.9551,522894.8321,HTM,1,6,4,0.4031,9/22/2016,5,1,1190408.7,277247.7295,1
SEDOL,ID-005078,867403.3965,419126.7522,AFS,1,11,1,0.2592,3/13/2035,2,2,1127137.254,373724.9471,1
ISIN,ID-005079,736229.1563,493115.648,AFS,2,7,4,0.4277,,3,1,1171485.856,382200.5981,3
ISIN,ID-005080,861823.0418,618641.3923,HTM,1,7,2,0.7525,8/6/2001,2,1,1163464.339,210992.5103,2
INTERNAL,ID-005081,667389.8549,513821.4122,EQ,2,9,4,0.756,10/25/2010,5,2,1480615.098,336765.6025,1
INTERNAL,ID-005082,721735.7337,438888.4996,EQ,1,2,2,0.9748,2/6/2017,5,2,1037610.014,228220.1064,2
INTERNAL,ID-005083,931635.7412,184332.6529,HTM,2,4,1,0.8787,12/14/2032,1,1,1299954.892,228806.686,3
ISIN,ID-005084,746798.3226,332935.6429,AFS,2,4,3,0.3639,7/21/2004,1,1,1690811.744,314329.5956,2
SEDOL,ID-005085,628271.0103,205912.4463,EQ,1,11,5,0.4201,8/5/2006,6,1,1423601.719,297133.1588,2
INTERNAL,ID-005086,565055.0706,534637.8475,HTM,2,8,3,0.673,10/30/2003,4,1,1514764.191,301493.137,2
SEDOL,ID-005087,1105905.702,584435.5712,AFS,2,2,1,0.3925,7/24/2000,2,2,1106389.381,218987.3663,3
INTERNAL,ID-005088,713230.4935,474096.7681,HTM,1,4,1,0.2947,10/22/2005,1,1,1082509.899,285557.341,2
INTERNAL,ID-005089,538495.3068,,EQ,1,9,2,0.0813,7/14/2009,1,2,1577518.875,254732.64,1
INTERNAL,ID-005090,563114.6832,640319.154,EQ,1,10,1,0.0275,6/24/2003,1,1,1062030.939,223792.2389,1
CUSIP,ID-005091,574773.8744,262761.2125,AFS,2,8,1,0.5885,,2,2,1477653.35,355663.4242,2
INTERNAL,ID-005092,571665.9536,474642.693,EQ,1,10,3,0.0858,6/18/2001,4,2,1491693.539,310339.7006,3
ISIN,ID-005093,776544.3868,388323.3112,HTM,1,7,4,0.4574,11/13/2008,2,1,1125128.705,232222.0334,3
SEDOL,ID-005094,947773.8619,594323.2229,EQ,1,10,2,0.6801,12/18/2017,6,2,1162019.78,247648.1555,2
INTERNAL,ID-005095,808787.9189,406328.783,EQ,1,10,5,0.623,6/15/2029,5,2,1120159.266,242860.949,1
INTERNAL,ID-005096,646430.7482,659102.6341,HTM,2,5,1,0.3628,5/22/2007,1,1,1579624.161,484912.18,2
SEDOL,ID-005097,688959.8758,371923.2194,AFS,1,2,4,0.9353,11/9/2023,5,2,1137260.539,246966.6089,2
SEDOL,ID-005098,829512.6743,365053.8318,HTM,2,8,2,0.5056,12/3/2022,4,2,1334089.675,349570.4299,3
SEDOL,ID-005099,660435.3618,421025.15,HTM,1,3,3,0.3059,11/1/2010,4,2,1450748.213,230183.2291,3
SEDOL,ID-005100,568448.3889,609689.4501,EQ,2,6,1,0.1173,5/28/2030,4,1,1049428.697,252689.7895,1
SEDOL,ID-005101,574129.4283,524675.62,EQ,1,9,5,0.084,5/15/2033,1,2,1372787.202,213018.4117,1
ISIN,ID-005102,652110.7849,675069.7795,HTM,1,2,1,0.2653,12/29/2012,5,2,1067758.703,201924.9326,2
CUSIP,ID-005103,877279.6503,601806.1865,EQ,2,4,3,0.4739,12/31/2010,5,2,1215667.166,243990.9021,1
INTERNAL,ID-005104,669281.9839,477141.2777,EQ,1,9,5,0.8979,11/10/2004,5,1,1064640.12,353600.0226,1
ISIN,ID-005105,934495.9673,696982.3469,HTM,1,9,4,0.9796,11/10/2027,5,2,1227123.727,220360.0539,2
CUSIP,ID-005106,552598.4521,388898.2614,EQ,1,2,3,0.5228,7/23/2029,6,2,1820009.778,231351.6583,3
CUSIP,ID-005107,770861.5845,663674.0192,AFS,1,9,3,0.9354,5/30/2023,6,2,1523451.754,249760.9192,2
INTERNAL,ID-005108,541170.2678,523867.0782,EQ,1,8,5,0.672,3/20/2034,4,2,1317836.841,417365.4635,2
SEDOL,ID-005109,666490.3118,631907.9536,AFS,1,5,1,0.5454,8/3/2003,4,1,1301074.272,233870.6103,1
CUSIP,ID-005110,702290.0121,414915.269,AFS,1,6,2,0.5115,7/4/2032,5,1,1103365.68,263892.9696,1
ISIN,ID-005111,749913.0481,710614.4139,EQ,1,5,5,0.3501,12/26/2021,4,1,1493812.465,258032.4294,1
ISIN,ID-005112,1034791.011,611341.2193,AFS,2,9,4,0.4727,6/17/2029,6,2,1451784.46,225596.1813,2
INTERNAL,ID-005113,580867.1827,680076.8061,AFS,1,4,5,0.0427,7/2/2034,6,1,1375969.152,,3
CUSIP,ID-005114,651641.5381,613903.0435,AFS,2,10,3,0.4723,10/8/2024,6,2,1353962.095,253714.1614,2
SEDOL,ID-005115,615596.8204,398236.9752,HTM,1,9,5,0.0982,8/7/2002,3,1,1092954.654,216923.6805,1
CUSIP,ID-005116,542131.8274,587380.8057,EQ,2,3,4,0.6525,8/14/2028,1,2,1208976.314,295459.9759,3
INTERNAL,ID-005117,614204.9942,575087.1267,HTM,1,4,3,0.0456,11/9/2018,6,1,1572521.092,206349.5569,1
INTERNAL,ID-005118,731381.6609,508594.9218,EQ,1,8,4,0.3892,7/9/2009,4,1,1563951.429,427819.8879,2
CUSIP,ID-005119,652206.627,370544.5358,HTM,1,7,1,0.5464,6/23/2004,5,2,1429412.445,243260.1538,2
INTERNAL,ID-005120,574443.9962,673501.8887,EQ,1,7,4,0.4702,7/11/2025,2,2,1034425.157,221272.5663,2
SEDOL,ID-005121,644400.2231,653572.714,HTM,2,11,5,0.3443,5/9/2032,4,1,1053534.439,351071.4236,1
SEDOL,ID-005122,665108.1138,,EQ,2,11,4,0.0552,5/18/2002,5,1,1598579.485,240979.9294,3
CUSIP,ID-005123,915030.269,629894.1594,EQ,2,10,3,0.0175,3/15/2027,1,1,1383481.886,289202.9867,2
CUSIP,ID-005124,730894.7519,563856.0275,HTM,2,10,5,0.4433,3/13/2016,4,1,,208644.6056,3
CUSIP,ID-005125,583430.0756,615351.4701,AFS,2,9,4,0.8861,6/4/2034,4,1,1169215.218,297110.9846,1
SEDOL,ID-005126,604861.7541,548793.156,AFS,2,6,4,0.17,11/22/2002,2,1,1725463.618,260212.8095,2
INTERNAL,ID-005127,700527.6833,,EQ,1,3,4,0.1871,6/24/2025,4,2,1523897.565,544494.6464,3
SEDOL,ID-005128,604501.8176,311127.1741,EQ,1,4,5,0.4889,5/10/2030,6,2,1229094.326,313421.0465,3
ISIN,ID-005129,557076.2048,398905.3776,AFS,2,4,1,0.5405,9/3/2005,6,1,1134355.516,200665.4912,3
ISIN,ID-005130,607097.0159,350626.0503,HTM,1,7,3,0.7572,2/12/2011,5,1,2668964.087,267068.3698,2
INTERNAL,ID-005131,819409.1833,407441.824,HTM,2,11,2,0.6221,4/25/2027,6,1,1094438.38,383340.7628,2
SEDOL,ID-005132,527587.2646,493604.1278,EQ,2,11,3,0.1414,,1,2,1127398.606,230821.8607,2
CUSIP,ID-005133,1003111.081,542923.0239,EQ,2,6,2,0.0689,6/29/2034,1,2,1427135.007,375419.6849,3
SEDOL,ID-005134,1016107.361,418848.3388,AFS,2,10,5,0.7326,11/26/2014,6,1,1330399.621,235468.4087,1
SEDOL,ID-005135,838601.062,512418.021,EQ,1,5,2,0.845,4/13/2021,5,2,1338230.318,224038.6308,1
SEDOL,ID-005136,740493.6166,463003.5106,HTM,2,7,1,0.5141,12/3/2006,2,1,1197614.718,512616.6981,3
ISIN,ID-005137,676249.9773,460693.8566,AFS,2,4,1,0.7552,1/21/2017,4,1,1207007.203,210047.5763,3
INTERNAL,ID-005138,687069.6333,564376.1635,HTM,2,10,4,0.5663,9/21/2018,4,2,1058701.41,243851.8805,1
INTERNAL,ID-005139,809462.9849,605151.2528,HTM,2,8,4,0.1102,4/11/2033,4,2,1114343.35,370027.6191,1
SEDOL,ID-005140,666862.1001,455477.7511,AFS,1,11,1,0.8206,12/25/2023,6,1,1173570.585,234216.6898,2
SEDOL,ID-005141,794249.6604,460100.9734,EQ,2,4,3,0.8823,10/30/2033,5,1,1296592.045,208863.0983,3
CUSIP,ID-005142,591968.296,610970.784,AFS,1,2,3,0.5834,8/25/2006,2,1,1131894.506,209390.7018,2
SEDOL,ID-005143,814225.495,,HTM,2,2,4,0.6823,4/22/2034,6,1,1434268.414,207606.4165,1
ISIN,ID-005144,561953.4919,441078.3838,AFS,1,2,3,0.5455,6/11/2014,4,2,1185309.051,239807.1379,3
INTERNAL,ID-005145,828066.0386,568317.62,AFS,1,2,1,0.3896,9/20/2008,3,1,1585942.49,303800.8009,1
SEDOL,ID-005146,5883814.831,446907.6649,HTM,2,3,5,0.3994,3/22/2025,3,2,1343536.999,,1
SEDOL,ID-005147,670664.56,361510.1744,HTM,2,1,4,0.7271,2/20/2018,3,1,1037754.664,214432.8601,2
SEDOL,ID-005148,581926.9745,386798.2635,EQ,1,11,2,0.3586,7/17/2023,2,2,1147787.485,324086.7749,3
CUSIP,ID-005149,660355.9863,575059.2861,AFS,2,4,1,0.8403,1/12/2028,3,2,1126681.397,246128.4059,2
CUSIP,ID-005150,591934.3553,576798.0061,AFS,1,8,4,0.63,1/1/2011,4,2,2112054.059,327553.3725,2
ISIN,ID-005151,633143.6283,508826.7186,EQ,2,1,5,0.4374,10/15/2010,2,2,1347888.944,303334.4088,3
CUSIP,ID-005152,593198.9052,433758.0641,AFS,2,2,1,0.6405,1/27/2003,3,2,1446755.033,272466.2136,1
ISIN,ID-005153,658724.3799,491463.6656,HTM,1,4,3,0.9064,3/15/2007,2,2,1021585.51,298141.3314,2
INTERNAL,ID-005154,568042.7799,354894.923,EQ,1,1,3,0.2334,1/14/2012,2,2,1547198.34,219009.6721,2
INTERNAL,ID-005155,611146.4937,393202.2825,HTM,2,4,2,0.5729,6/18/2022,1,1,1162912.677,299234.7214,3
INTERNAL,ID-005156,615248.6949,489374.6723,HTM,1,2,1,0.3232,2/11/2027,2,2,2247166.331,283991.6666,3
SEDOL,ID-005157,546475.4777,463473.1168,EQ,2,8,1,,9/24/2026,6,1,1151836.409,346352.5553,3
SEDOL,ID-005158,968255.061,565382.7546,HTM,1,6,3,0.5873,1/11/2034,4,1,1174259.249,292963.3715,1
CUSIP,ID-005159,657386.4055,416362.526,AFS,1,2,5,0.0801,8/3/2007,5,2,1217462.089,335168.4484,2
SEDOL,ID-005160,618713.6993,630995.1278,EQ,2,6,5,0.0636,8/17/2023,1,1,1527886.268,285374.6677,2
ISIN,ID-005161,578997.2352,,AFS,1,10,3,0.4561,11/28/2014,1,1,1104719.197,246532.9524,3
INTERNAL,ID-005162,661310.3957,518125.3873,AFS,1,8,4,0.7798,6/4/2030,5,2,1317551.038,259854.5926,2
ISIN,ID-005163,668967.0427,590497.7508,HTM,2,5,4,0.0088,5/4/2024,4,2,1613321.85,324847.0126,2
SEDOL,ID-005164,711552.6677,662671.5009,HTM,2,9,2,0.5442,10/9/2022,2,1,1066016.326,241839.5733,2
ISIN,ID-005165,578090.8898,584334.2451,AFS,1,7,1,0.1689,3/26/2027,5,2,1129192.656,287757.445,3
INTERNAL,ID-005166,548831.5318,469911.451,AFS,1,4,1,0.7793,12/5/2001,4,2,1061556.526,437151.2835,2
CUSIP,ID-005167,706710.5291,499435.9421,AFS,1,3,3,0.2824,3/23/2012,2,1,1163913.152,228725.457,2
INTERNAL,ID-005168,988942.7361,571876.6024,EQ,2,1,2,0.3529,5/29/2027,1,1,1321499.74,329236.6269,3
ISIN,ID-005169,1704626.431,325946.1246,EQ,2,5,5,0.8624,12/15/2031,3,1,1419131.798,214609.0204,1
INTERNAL,ID-005170,674399.212,327945.3008,EQ,2,1,2,0.3996,12/10/2026,3,1,1248301.816,255178.5173,3
CUSIP,ID-005171,,489781.7733,AFS,1,5,1,0.1414,10/6/2021,3,1,1566723.647,250438.8341,1
INTERNAL,ID-005172,516390.7089,470598.1629,HTM,1,11,4,0.8778,12/16/2003,3,1,1328650.3,250679.9876,3
CUSIP,ID-005173,559040.8361,422980.8347,AFS,2,6,3,0.6417,10/27/2020,2,1,1392107.485,338968.4094,1
CUSIP,ID-005174,690159.5228,525578.3005,EQ,2,9,5,0.6686,7/17/2034,6,1,1284683.285,411943.6942,1
CUSIP,ID-005175,594303.9947,704432.741,EQ,2,9,5,0.151,6/1/2001,1,1,1289176.076,366145.4394,2
CUSIP,ID-005176,770185.2674,682187.7723,HTM,2,10,2,0.8188,9/22/2017,4,2,1450572.911,255983.1542,2
CUSIP,ID-005177,597009.0135,584128.8684,EQ,1,10,1,0.3999,10/4/2023,5,2,1282639.168,292194.8296,1
ISIN,ID-005178,963476.5453,409206.2196,EQ,2,4,1,0.1923,2/10/2022,3,1,1044066.799,223393.1012,3
SEDOL,ID-005179,642087.9838,380829.4296,AFS,1,1,3,0.5817,2/22/2014,6,2,1454777.594,280771.0788,2
INTERNAL,ID-005180,5570020.174,358359.4557,AFS,1,4,3,0.2423,9/14/2013,2,1,1180327.578,232573.6862,2
ISIN,ID-005181,743967.3874,,HTM,2,10,5,0.2493,9/11/2013,5,1,1034712.068,265256.1534,2
INTERNAL,ID-005182,716039.7567,380222.7096,HTM,2,4,4,0.7836,6/7/2000,2,1,1043020.376,253978.6275,3
CUSIP,ID-005183,568022.6636,316751.7875,EQ,2,7,1,0.2216,2/13/2009,1,2,1293092.285,255920.8443,1
INTERNAL,ID-005184,852936.8348,417557.8169,AFS,1,3,1,0.5038,6/10/2012,4,1,1278318.999,225827.2954,3
CUSIP,ID-005185,708265.3472,686516.9863,EQ,1,4,2,0.4259,6/8/2030,6,1,2064908.818,251682.1018,2
SEDOL,ID-005186,,765052.5851,EQ,2,8,1,0.5886,4/15/2008,1,2,1098316.152,213272.3527,3
CUSIP,ID-005187,637186.094,386321.5605,HTM,2,6,3,0.0074,,2,2,1074108.21,204289.5547,3
INTERNAL,ID-005188,689092.5865,694278.0352,HTM,1,8,2,0.3272,3/29/2020,6,2,1186270.512,303590.0796,1
ISIN,ID-005189,820966.8231,591884.8981,EQ,2,10,4,0.3584,9/8/2012,5,1,1407065.792,223494.9008,2
SEDOL,ID-005190,774881.4403,546826.601,EQ,2,3,2,0.7097,2/6/2003,4,2,1083306.414,268443.0297,1
CUSIP,ID-005191,684893.4309,645960.7324,EQ,2,11,2,0.4398,8/4/2035,5,2,1194137.289,211144.7794,1
CUSIP,ID-005192,622761.6796,431964.7089,HTM,2,10,3,0.4932,10/14/2004,1,2,1058727.395,338704.3005,2
SEDOL,ID-005193,552004.181,407369.0603,EQ,2,2,1,0.774,12/23/2023,1,1,,303792.0502,2
CUSIP,ID-005194,564931.2384,537459.3145,AFS,2,7,3,0.173,10/15/2004,6,2,1194011.029,,1
CUSIP,ID-005195,579806.7759,384476.0506,AFS,1,10,4,0.3137,12/1/2009,4,2,1191720.6,313326.044,1
SEDOL,ID-005196,888575.5958,,AFS,2,1,2,0.0083,,4,2,1032350.949,239697.5775,1
SEDOL,ID-005197,561629.5415,482751.3664,HTM,1,2,4,0.8849,4/27/2010,2,2,-661447.9413,291205.6751,2
INTERNAL,ID-005198,699963.7515,672768.2899,HTM,2,1,3,0.3227,7/23/2013,1,2,1316509.634,283742.91,2
CUSIP,ID-005199,804444.5817,705130.5336,AFS,1,9,3,0.7484,7/9/2021,2,1,1355421.211,403415.2621,3
ISIN,ID-005200,639002.7697,582937.1904,AFS,2,1,2,0.8194,2/19/2023,5,1,1100586.641,280703.0531,3
CUSIP,ID-005201,564691.5109,377220.539,EQ,2,1,5,0.9675,6/8/2014,3,2,1053494.541,218245.713,2
ISIN,ID-005202,640018.7721,634456.7623,HTM,2,9,2,0.6008,3/9/2009,5,2,1194556.796,239630.538,3
CUSIP,ID-005203,722268.774,560227.2869,AFS,1,3,1,0.9769,2/20/2020,6,2,1206031.715,227413.5185,1
SEDOL,ID-005204,842249.7372,495296.6921,EQ,1,1,4,0.4631,5/13/2002,4,1,1164412.661,,3
ISIN,ID-005205,579717.6114,555410.1566,AFS,1,4,1,0.2426,5/20/2004,6,1,1599168.743,265132.7118,1
ISIN,ID-005206,622967.3033,675121.0003,AFS,1,7,4,0.2842,12/21/2034,5,2,1326500.383,216082.1153,3
ISIN,ID-005207,640986.753,424330.1428,EQ,2,11,1,0.835,9/20/2010,1,1,1203517.475,229882.4782,3
ISIN,ID-005208,715431.6135,548509.3566,HTM,2,6,4,0.8019,11/2/2023,3,1,1482076.824,291268.6168,3
CUSIP,ID-005209,635286.7767,,EQ,1,3,4,0.4272,12/29/2025,3,2,1466413.433,320657.6628,1
INTERNAL,ID-005210,528703.596,558286.8989,AFS,2,10,1,0.9677,1/20/2002,4,2,1168759.166,362738.9008,3
CUSIP,ID-005211,765834.8854,636039.2417,HTM,2,10,4,0.6829,10/14/2032,5,2,1280875.179,529099.1577,2
INTERNAL,ID-005212,773951.5939,737289.441,AFS,1,1,4,0.3746,6/21/2034,1,1,1522895.868,256099.6486,2
ISIN,ID-005213,747478.147,558693.1714,HTM,1,4,2,0.3297,3/25/2022,4,2,1558886.663,,2
SEDOL,ID-005214,781912.2768,574080.7576,HTM,2,2,4,0.6002,2/27/2013,5,2,1876090.919,258377.115,3
CUSIP,ID-005215,822448.2276,377982.4574,AFS,1,11,4,0.2174,10/4/2035,6,1,1058493.173,325823.8729,2
INTERNAL,ID-005216,564379.8082,560157.4459,HTM,1,7,4,0.2167,5/1/2032,5,2,1267335.719,277262.8335,3
SEDOL,ID-005217,584210.1123,435132.6892,HTM,1,1,1,0.6136,2/9/2027,3,1,1014170.294,213888.6746,1
CUSIP,ID-005218,590189.3013,471928.6253,AFS,2,6,4,0.0293,7/10/2030,6,1,1071118.535,331915.9676,1
CUSIP,ID-005219,531125.525,703343.9945,EQ,1,1,5,0.2125,9/25/2017,3,2,1443996.427,261928.5821,1
SEDOL,ID-005220,699827.8057,474815.5826,HTM,2,9,5,0.3284,5/12/2005,1,1,1805536.756,218271.2307,2
ISIN,ID-005221,611689.85,420950.6114,AFS,1,6,2,0.1218,4/26/2020,1,1,1507209.941,292143.3512,3
ISIN,ID-005222,794487.8601,439891.7848,AFS,2,1,5,0.2674,3/15/2023,2,1,1226310.318,395004.9428,3
ISIN,ID-005223,558483.871,463106.1743,AFS,1,5,3,0.8463,8/10/2013,4,2,1825338.887,248865.9578,2
ISIN,ID-005224,9415069.775,335863.699,EQ,1,3,2,0.53,8/28/2030,3,2,1418174.692,232292.9702,1
SEDOL,ID-005225,1007805.704,461033.6382,EQ,2,4,4,0.4692,5/30/2013,2,2,1143030.529,240784.457,1
INTERNAL,ID-005226,650936.8143,500478.3495,EQ,1,7,4,0.5817,8/21/2012,5,2,1906036.424,255832.5184,1
SEDOL,ID-005227,,669619.6524,AFS,2,8,5,0.8019,2/28/2020,4,2,1426821.44,333571.7816,2
ISIN,ID-005228,837006.1664,523432.9202,AFS,1,3,1,0.618,10/23/2015,5,1,1138769.186,280653.2523,1
INTERNAL,ID-005229,656978.5468,448266.7174,EQ,1,11,2,0.1368,1/23/2030,3,1,1029217.963,255510.3122,3
ISIN,ID-005230,676772.076,444058.3062,EQ,1,11,2,0.7463,2/15/2032,3,2,1101869.487,227567.3123,1
INTERNAL,ID-005231,535395.7791,356842.3882,AFS,2,11,4,0.0639,3/29/2008,6,1,1254453.49,428176.17,1
CUSIP,ID-005232,705532.3118,569666.8009,EQ,1,2,2,0.4108,4/27/2001,4,2,1237398.125,296186.3004,3
SEDOL,ID-005233,802657.0734,578953.3754,EQ,1,9,3,0.7785,3/21/2015,5,2,1180463.37,322107.3304,2
ISIN,ID-005234,767092.8007,494418.9754,AFS,1,5,5,0.2801,3/10/2009,5,1,1418146.873,241780.0952,2
ISIN,ID-005235,549441.8972,428770.7651,AFS,2,5,2,0.0291,9/18/2014,1,2,1108722.507,246946.3258,3
SEDOL,ID-005236,594234.3998,238314.6036,AFS,1,7,5,0.6992,11/2/2018,3,1,1568925.415,222202.5397,1
CUSIP,ID-005237,571056.1386,535174.4276,EQ,1,3,3,0.5202,12/22/2027,1,2,1305865.522,269817.9575,1
INTERNAL,ID-005238,606315.7139,541030.3027,EQ,2,9,4,0.6781,9/18/2033,4,2,1193792.843,272273.6944,1
CUSIP,ID-005239,712591.0991,342954.3956,HTM,1,8,2,0.1889,3/7/2024,6,1,1017782.759,294112.1413,1
ISIN,ID-005240,632659.2897,538109.4438,EQ,2,9,1,0.8729,4/13/2019,3,1,1117948.231,229991.9992,3
ISIN,ID-005241,739361.4567,447842.9266,HTM,2,2,5,0.5882,8/18/2016,4,2,1071758.085,335598.3085,1
ISIN,ID-005242,528061.7128,629136.9128,EQ,1,4,2,0.9215,5/14/2012,2,2,1383885.066,265005.066,2
INTERNAL,ID-005243,,559614.2158,AFS,1,3,2,0.7732,,5,2,1362147.835,295165.0693,3
ISIN,ID-005244,732485.1742,546246.9242,HTM,2,1,5,0.2981,2/21/2005,5,1,1460087.914,256709.1225,2
CUSIP,ID-005245,932316.5845,675702.9384,HTM,2,2,5,0.6266,5/17/2011,5,2,1856868.509,257984.851,1
SEDOL,ID-005246,599912.2404,499352.8503,AFS,1,2,3,0.1462,4/3/2000,3,2,1046207.12,281004.7027,3
SEDOL,ID-005247,,,AFS,1,11,4,0.0315,2/23/2006,1,1,1361314.338,232558.6335,3
CUSIP,ID-005248,660886.2761,591558.3622,HTM,1,4,1,0.2837,10/5/2030,1,2,1204751.842,256480.894,1
CUSIP,ID-005249,,401548.4577,EQ,1,7,3,0.7944,1/25/2013,2,2,1687054.933,256172.8969,1
ISIN,ID-005250,615195.784,339742.2246,EQ,2,2,1,0.1148,3/3/2025,6,1,1204081.649,331418.2508,3
ISIN,ID-005251,752727.7529,537973.9242,EQ,1,8,4,0.1092,,2,1,1333483.179,214269.1161,3
INTERNAL,ID-005252,514346.9061,499829.6375,AFS,2,7,2,0.6656,10/17/2032,6,1,,455371.3914,3
CUSIP,ID-005253,771548.4442,527982.3904,AFS,1,9,2,0.8633,7/22/2012,3,1,1142464.724,268354.4051,2
INTERNAL,ID-005254,701314.7223,501103.6127,HTM,1,11,3,0.5375,2/10/2027,5,2,1094606.839,505667.8468,1
ISIN,ID-005255,684876.8383,407653.1571,EQ,2,4,3,0.0789,3/7/2026,1,1,1351809.946,307471.901,3
